date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:29:38	11186/11186	---M--	200	added ('OK')	image/jpeg	etag:%22613d4bdb-2bb2%22	https://varadbhogayata.github.io/assets/img/matplotlib-logo-1-500x500.jpg	C:/Users/KARTIK/Downloads/suhana%20test%20project/varadbhogayata.github.io/assets/img/matplotlib-logo-1-500x500.jpg	(from https://varadbhogayata.github.io/)
20:29:38	5768/5768	---M--	200	added ('OK')	image/webp	etag:%22613d4bdb-1688%22	https://varadbhogayata.github.io/assets/img/django-logo.webp	C:/Users/KARTIK/Downloads/suhana%20test%20project/varadbhogayata.github.io/assets/img/django-logo.webp	(from https://varadbhogayata.github.io/)
20:29:38	37209/37209	---M--	200	added ('OK')	image/png	etag:%22613d4bdb-9159%22	https://varadbhogayata.github.io/assets/img/flask-logo.png	C:/Users/KARTIK/Downloads/suhana%20test%20project/varadbhogayata.github.io/assets/img/flask-logo.png	(from https://varadbhogayata.github.io/)
20:29:38	16038/16038	---M--	200	added ('OK')	image/png	etag:%22613d4bdb-3ea6%22	https://varadbhogayata.github.io/assets/img/bootstrap.png	C:/Users/KARTIK/Downloads/suhana%20test%20project/varadbhogayata.github.io/assets/img/bootstrap.png	(from https://varadbhogayata.github.io/)
20:29:39	11018/11018	---M--	200	added ('OK')	image/png	etag:%22613d4bdb-2b0a%22	https://varadbhogayata.github.io/assets/img/keras-logo.png	C:/Users/KARTIK/Downloads/suhana%20test%20project/varadbhogayata.github.io/assets/img/keras-logo.png	(from https://varadbhogayata.github.io/)
20:29:39	25782/25782	---M--	200	added ('OK')	image/png	etag:%22613d4bdb-64b6%22	https://varadbhogayata.github.io/assets/img/tensorflow-logo-1.png	C:/Users/KARTIK/Downloads/suhana%20test%20project/varadbhogayata.github.io/assets/img/tensorflow-logo-1.png	(from https://varadbhogayata.github.io/)
20:29:39	22108/22108	---M--	200	added ('OK')	image/png	etag:%22613d4bdb-565c%22	https://varadbhogayata.github.io/assets/img/pytorch-logo.png	C:/Users/KARTIK/Downloads/suhana%20test%20project/varadbhogayata.github.io/assets/img/pytorch-logo.png	(from https://varadbhogayata.github.io/)
20:29:39	2383/2383	---M--	200	added ('OK')	image/png	etag:%22613d4bdb-94f%22	https://varadbhogayata.github.io/assets/img/git.png	C:/Users/KARTIK/Downloads/suhana%20test%20project/varadbhogayata.github.io/assets/img/git.png	(from https://varadbhogayata.github.io/)
20:29:39	26315/26315	---M--	200	added ('OK')	image/png	etag:%22613d4bdb-66cb%22	https://varadbhogayata.github.io/assets/img/aws.png	C:/Users/KARTIK/Downloads/suhana%20test%20project/varadbhogayata.github.io/assets/img/aws.png	(from https://varadbhogayata.github.io/)
20:29:40	4241/4241	---M--	200	added ('OK')	image/png	etag:%22613d4bdb-1091%22	https://varadbhogayata.github.io/assets/img/heroku.png	C:/Users/KARTIK/Downloads/suhana%20test%20project/varadbhogayata.github.io/assets/img/heroku.png	(from https://varadbhogayata.github.io/)
20:29:40	11749/11749	---M-Z	200	added ('OK')	application/javascript	etag:W/%22613d4bdb-2de5%22	https://varadbhogayata.github.io/assets/vendor/typed.js/typed.min.js	C:/Users/KARTIK/Downloads/suhana%20test%20project/varadbhogayata.github.io/assets/vendor/typed.js/typed.min.js	(from https://varadbhogayata.github.io/)
20:29:41	95931/95931	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1.11.2/jquery.min.js	C:/Users/KARTIK/Downloads/suhana%20test%20project/ajax.googleapis.com/ajax/libs/jquery/1.11.2/jquery.min.js	(from https://varadbhogayata.github.io/)
20:29:41	115851/115851	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03efe-1c48b%22	https://cdnjs.cloudflare.com/ajax/libs/materialize/0.95.3/js/materialize.min.js	C:/Users/KARTIK/Downloads/suhana%20test%20project/cdnjs.cloudflare.com/ajax/libs/materialize/0.95.3/js/materialize.min.js	(from https://varadbhogayata.github.io/)
20:29:41	209/209	---M--	200	added ('OK')	image/png	etag:%22613d4bdb-d1%22	https://varadbhogayata.github.io/assets/img/bg.png	C:/Users/KARTIK/Downloads/suhana%20test%20project/varadbhogayata.github.io/assets/img/bg.png	(from https://varadbhogayata.github.io/assets/css/style.css)
